Reference_Architecture_ID,Name,Target_Use_Case,Supported_Applications_Technology,Deployment_Environment,Description
1,SUKEP Online Induction and NOK,Induction and Learning,Online Induction NoK System,"External SAAS, Email OTP","Shell will introduce a new NoK process to be integrated into the updated Onshore SOV online induction process named SUKEP Site Induction Tool maintained by external SAAS Resolution Digital. 
https://sede-sc.visualstudio.com/EnterpriseArchitectureRepository/_wiki/wikis/EnterpriseArchitectureRepository.wiki/4709/SUKEP-Online-Induction-and-NOK"
2,"Tool Migration WellOffice to Omnisafe
",SSO enabled Omnisafe,"Omega365,Authentication and Authorization Service (SIMAAS)",Azure External SAAS Based,"The Identity Provider SIMAAS will integrate with Omega365 to implement Single Sign-On (SSO) for the authentication and authorization of existing Omnisafe users, thereby replacing the Kerberos authentication method.
https://sede-sc.visualstudio.com/EnterpriseArchitectureRepository/_wiki/wikis/EnterpriseArchitectureRepository.wiki/3858/Tool-Migration-WellOffice-to-Omnisafe"
3,"E-Safety Observation
",Safety Recording," E-Obs , AWS EC2,  ManageEngine 24x7 Monitoring ,  Amazon Route 53 ","AWS, External SAAS","The Safety Obs. tool has already been deployed to our Brent Charlie, Shearwater and Nelson assets with positive feedback. We would like to progress to standardising with this tool to our offshore and onshore assets.
https://sede-sc.visualstudio.com/EnterpriseArchitectureRepository/_wiki/wikis/EnterpriseArchitectureRepository.wiki/2468/E-Safety-Observation?anchor=1.-solution-overview"
4,SUBSEA INSPECTIONS VIDEO LIBRARY IMPLEMENTATION,Inspection Video Recording(Multimedia),"VIDEO LOADER, Sharepoint",Microsoft Cloud,"Subsea video loader is an implemented Shell solution for managing offshore inspection footage. The program is already being used on different assets, including the Netherlands, Australia, and the United Kingdom. 
https://sede-sc.visualstudio.com/EnterpriseArchitectureRepository/_wiki/wikis/EnterpriseArchitectureRepository.wiki/4269/DW-Brazil-Subsea-Video-Loader"
5, HR ATLAS Engage Learning,HSSE training,Mintra,External SAAS,"With Agreement from Business, IDT Argentina, and Learning excellence teams, an existing Shell application was selected to be used to manage external contractors Wells HSSE trainings. The decision reached was to procced with ATLAS engage Learning (APM00333448) - “Mintra” as it an existing Shell application fully reviewed by IRM and Architecture and mitigates the exposure from the current Argentina solution of the Virtual Shell Academy. 

https://sede-sc.visualstudio.com/EnterpriseArchitectureRepository/_wiki/wikis/EnterpriseArchitectureRepository.wiki/4259/Argentina-ATLAS-Engage-Learning-%E2%80%93-Mintra"
6,"DQ Insight - bCLEARer for Assets
","Data Collect, Load, Evolve, Assimilate, Reuse.",DQInsight,SAAS in house,"DQInsight is an elaborated framework for data integration and interoperability, where the goal is to establish ontology based semantic data quality improvements and transformation.Along with this, quality checks and provides data quality report/dashboard, linking objects from multiple domains into a common model linkage, instrument linkage, etc.
https://sede-sc.visualstudio.com/EnterpriseArchitectureRepository/_wiki/wikis/EnterpriseArchitectureRepository.wiki/5039/DQ-Insight-bCLEARer-for-Assets"
7,"Integrity Elements
",Subsea Installation and Media Storage,"Integrity Elements, Sharepoint, FAAS","Azure Shell, External SAAS Aize","The project scope is to implement Integrity Elements for SUKEP (separate project for Norway and NAM) for offshore subsea installation IRM (Inspection Repair & Maintenance) operations and agree Media Storage improvements.
https://sede-sc.visualstudio.com/EnterpriseArchitectureRepository/_wiki/wikis/EnterpriseArchitectureRepository.wiki/1919/Integrity-Elements"
8,Argentina Government Reporting,Government Reporting,Data Transfer Solutions,"External FTPS, Web Service","Data transfer solution(s) for Argentina (National and provincial) Government Reporting Requirements. Shell will provide data to the government in different formats and frequencies as required. Secure data transfer using web services and FTPS.
https://eu001-sp.shell.com/:p:/r/sites/AAAAA1085/_layouts/15/Doc.aspx?sourcedoc=%7B3F345553-18FC-4E7F-AF2C-C43F37195D66%7D&file=Argentina%20Government%20Reporting%20SAHLD.pptx&wdLOR=c95857CC5-E228-45E2-B4E4-096CAE722434&action=edit&mobileredirect=true"
9,2FA Access for NOV to Upstream Blueprint,Upstream ERP,"SAP Portal, PingID, SSO","Cloud (Azure), On-premises","Solution for NOV users to access the Blueprint and MIF systems using 2FA with PingID. Provides SSO to the Blueprint portal and integrates with Shell’s Active Directory and SAP backend systems.
https://eu001-sp.shell.com/:w:/r/sites/AAAAA1085/_layouts/15/Doc.aspx?sourcedoc=%7B13b4c537-9c85-4f36-9736-c9651a8d2bf2%7D&action=view&wdLOR=cA49EBF7A-D2D1-4EC5-B0D2-E3ED5C922B50&wdAccPdf=0&wdparaid=50155244"
10,Argos Dashboard - SAHLD,Data Visualization,"Dashboarding Tools, BI Solutions","On-premises, Cloud","Provides business intelligence and visualization tools for Argos. Integration with multiple data sources for comprehensive reporting and analysis. Supports both on-premises and cloud environments.
https://eu001-sp.shell.com/:w:/r/sites/AAAAA1085/_layouts/15/Doc.aspx?sourcedoc=%7B07ADAF2A-8849-4458-A583-AF9EFD960BD8%7D&file=Argos%20Dashboard%20-%20SAHLD.docx&wdLOR=cE17D42F9-1DD7-4E13-B2B2-601A40211626&action=default&mobileredirect=true"
11,Brazil Greenhouse Gases (GHG),Environmental Reporting,"Emissions Tracking System, Data Analytics","Cloud, On-premises","A system to track and report greenhouse gas emissions in compliance with Brazilian environmental regulations. Integrates with various data sources for accurate emissions tracking and reporting
https://eu001-sp.shell.com/:w:/r/sites/AAAAA1085/_layouts/15/Doc.aspx?sourcedoc=%7B99B01CD5-9B1B-4881-BA96-0017D0A36D50%7D&file=Brazil%20Greenhouse%20Gases_GHG-SAHLD.docx&wdLOR=c3CE7E320-DB2D-4A55-A4F9-2C1F4201AB12&action=default&mobileredirect=true"
